orderID,created_at,paid_at,delivery_at,status
838,2019-06-27,2019-07-01,2019-07-01,Completed
844,2020-05-31,2020-06-04,2020-06-08,Completed
845,2019-09-13,2019-09-16,2019-09-30,Completed
846,2020-05-27,2020-06-09,2020-06-13,Completed
852,2020-03-29,2020-04-05,2020-04-05,Completed
857,2019-12-16,2019-12-30,2020-01-05,Completed
865,2019-12-11,2019-12-13,2019-12-20,Completed
874,2020-04-07,2020-04-11,2020-04-15,Completed
875,2020-05-29,2020-06-09,2020-06-17,Completed
876,2020-03-23,2020-03-29,2020-04-09,Completed
877,2019-08-21,2019-09-04,2019-09-12,Completed
895,2020-04-16,2020-04-17,2020-04-27,Completed
898,2019-12-12,2019-12-19,2019-12-19,Completed
899,2020-03-20,2020-03-29,2020-04-04,Completed
906,2020-03-19,2020-03-21,2020-03-24,Completed
911,2020-05-29,2020-06-06,2020-06-11,Completed
916,2019-09-07,2019-09-20,2019-09-24,Completed
920,2019-11-04,2019-11-06,2019-11-20,Completed
923,2020-02-25,2020-03-03,2020-03-09,Completed
931,2020-02-14,2020-02-15,2020-02-21,Completed
934,2020-01-10,2020-01-19,2020-01-22,Completed
939,2019-12-08,2019-12-17,NULL,"Paid & Undelivered"
948,2019-11-05,2019-11-13,2019-11-15,Completed
968,2019-08-19,2019-09-01,2019-09-05,Completed
970,2019-07-14,2019-07-15,2019-07-19,Completed
972,2020-04-23,NULL,NULL,Unpaid
980,2019-04-30,2019-05-10,2019-05-11,Completed
992,2020-02-03,2020-02-11,2020-02-20,Completed
996,2019-11-02,NULL,NULL,Unpaid
1001,2019-07-04,2019-07-12,2019-07-19,Completed
1014,2020-04-30,NULL,NULL,Unpaid
1016,2020-05-24,2020-06-04,2020-06-05,Completed
1042,2020-04-11,2020-04-12,2020-04-13,Completed
1044,2020-04-28,2020-05-05,2020-05-10,Completed
1046,2020-05-27,2020-06-06,2020-06-15,Completed
1048,2019-10-17,NULL,NULL,Unpaid
1064,2019-03-21,2019-03-29,2019-03-31,Completed
1065,2020-05-23,2020-05-26,2020-06-01,Completed
1075,2019-09-13,2019-09-15,2019-09-17,Completed
1087,2019-08-07,2019-08-14,2019-08-17,Completed
1090,2019-12-23,2019-12-29,2020-01-02,Completed
1103,2019-11-09,2019-11-19,2019-12-03,Completed
1117,2019-10-15,2019-10-18,2019-10-20,Completed
1134,2019-11-19,2019-11-30,2019-12-02,Completed
1135,2019-04-08,2019-04-22,2019-05-04,Completed
1138,2020-03-25,NULL,NULL,Unpaid
1153,2020-05-17,2020-05-20,2020-05-27,Completed
1157,2020-05-23,2020-05-24,2020-06-07,Completed
1166,2019-10-26,2019-11-09,2019-11-21,Completed
1174,2019-12-18,2019-12-26,2019-12-31,Completed
1175,2019-09-05,2019-09-11,2019-09-13,Completed
1177,2020-01-16,2020-01-26,2020-02-05,Completed
1187,2020-02-18,2020-02-19,2020-02-21,Completed
1204,2020-03-05,2020-03-13,2020-03-22,Completed
1205,2020-02-29,2020-03-06,2020-03-08,Completed
1213,2020-05-27,2020-06-02,2020-06-05,Completed
1219,2019-11-02,2019-11-15,2019-11-19,Completed
1220,2019-12-31,2020-01-07,2020-01-09,Completed
1224,2019-06-07,2019-06-16,2019-06-24,Completed
1230,2020-01-07,2020-01-09,NULL,"Paid & Undelivered"
1239,2019-12-18,2019-12-23,2019-12-23,Completed
1240,2019-12-16,2019-12-21,2019-12-25,Completed
1263,2019-08-02,2019-08-10,2019-08-21,Completed
1272,2020-03-12,2020-03-21,2020-03-25,Completed
1276,2019-11-25,2019-12-07,2019-12-09,Completed
1277,2020-02-10,2020-02-13,2020-02-23,Completed
1299,2019-11-28,2019-12-02,NULL,"Paid & Undelivered"
1300,2020-05-18,2020-05-29,2020-06-01,Completed
1301,2019-02-21,2019-03-06,2019-03-12,Completed
1306,2020-03-20,2020-03-29,2020-04-02,Completed
1308,2020-05-18,2020-05-29,2020-06-09,Completed
1311,2020-05-01,2020-05-05,2020-05-19,Completed
1313,2019-11-11,2019-11-22,2019-11-25,Completed
1326,2019-08-22,NULL,NULL,Unpaid
1333,2019-11-10,2019-11-13,2019-11-20,Completed
1343,2019-11-10,2019-11-17,2019-11-26,Completed
1347,2019-04-16,2019-04-23,2019-04-26,Completed
1349,2020-04-04,2020-04-07,2020-04-17,Completed
1352,2019-12-21,2019-12-28,2020-01-06,Completed
1353,2019-10-15,2019-10-23,2019-10-31,Completed
1355,2019-11-24,2019-11-28,2019-11-30,Completed
1356,2020-05-03,2020-05-06,2020-05-17,Completed
1358,2020-05-26,2020-06-08,2020-06-11,Completed
1371,2020-04-05,2020-04-13,2020-04-17,Completed
1376,2019-02-01,2019-02-03,2019-02-07,Completed
1384,2020-05-27,2020-06-04,2020-06-13,Completed
1392,2020-05-27,2020-05-30,2020-06-11,Completed
1394,2020-01-05,2020-01-17,2020-01-29,Completed
1401,2019-08-03,2019-08-12,2019-08-12,Completed
1402,2019-10-25,2019-11-05,2019-11-17,Completed
1417,2019-12-27,2020-01-01,2020-01-13,Completed
1426,2019-03-05,2019-03-14,2019-03-21,Completed
1429,2019-07-30,2019-07-31,2019-08-08,Completed
1431,2020-01-08,2020-01-14,2020-01-28,Completed
1441,2020-05-17,2020-05-20,2020-05-21,Completed
1454,2020-04-08,2020-04-19,2020-04-25,Completed
1458,2019-08-26,2019-09-08,2019-09-09,Completed
1463,2020-03-10,2020-03-15,2020-03-16,Completed
1466,2020-05-28,2020-06-10,2020-06-17,Completed
1467,2019-06-10,2019-06-18,2019-06-20,Completed
1472,2020-05-20,2020-05-29,2020-06-05,Completed
1483,2019-06-07,2019-06-19,2019-06-21,Completed
1491,2019-12-19,2019-12-29,2020-01-01,Completed
1492,2020-05-10,2020-05-11,2020-05-17,Completed
1493,2019-10-25,2019-11-07,2019-11-15,Completed
1499,2019-09-11,2019-09-17,2019-09-28,Completed
1505,2019-10-20,2019-10-27,2019-11-04,Completed
1507,2019-12-06,2019-12-18,2019-12-20,Completed
1508,2020-04-02,2020-04-06,2020-04-17,Completed
1522,2019-12-21,2019-12-23,2020-01-02,Completed
1532,2019-09-29,2019-10-08,2019-10-22,Completed
1537,2019-11-20,NULL,NULL,Unpaid
1543,2019-07-03,2019-07-07,NULL,"Paid & Undelivered"
1558,2019-04-16,2019-04-27,2019-05-08,Completed
1566,2019-05-26,2019-06-02,2019-06-11,Completed
1573,2019-11-27,2019-12-02,NULL,"Paid & Undelivered"
1591,2019-07-08,2019-07-13,2019-07-16,Completed
1595,2019-11-30,2019-12-06,2019-12-09,Completed
1597,2020-03-26,2020-03-29,2020-03-29,Completed
1603,2019-07-29,2019-08-10,2019-08-19,Completed
1608,2020-05-30,2020-05-31,2020-06-07,Completed
1617,2020-05-29,NULL,NULL,Unpaid
1618,2020-01-09,2020-01-20,2020-01-30,Completed
1619,2020-04-24,2020-05-01,2020-05-10,Completed
1622,2019-12-23,2020-01-02,2020-01-07,Completed
1625,2019-11-17,2019-11-28,2019-12-03,Completed
1629,2020-04-28,2020-05-09,2020-05-23,Completed
1633,2020-04-24,2020-04-28,2020-05-05,Completed
1643,2019-07-16,2019-07-22,2019-07-30,Completed
1649,2019-12-14,2019-12-24,NULL,"Paid & Undelivered"
1652,2019-01-31,2019-02-09,2019-02-10,Completed
1654,2020-05-06,2020-05-16,2020-05-27,Completed
1655,2019-12-08,2019-12-10,2019-12-16,Completed
1659,2020-04-16,2020-04-21,2020-04-28,Completed
1675,2019-09-02,2019-09-10,2019-09-12,Completed
1686,2019-09-04,2019-09-16,2019-09-26,Completed
1702,2019-11-24,2019-12-02,2019-12-03,Completed
1707,2020-02-21,2020-03-06,NULL,"Paid & Undelivered"
1713,2019-11-27,2019-12-03,2019-12-04,Completed
1716,2020-05-03,2020-05-14,2020-05-14,Completed
1727,2019-12-26,2020-01-09,2020-01-11,Completed
1729,2019-05-13,2019-05-18,2019-06-01,Completed
1741,2020-02-02,2020-02-15,NULL,"Paid & Undelivered"
1745,2019-11-14,2019-11-16,2019-11-21,Completed
1751,2019-12-03,2019-12-12,2019-12-12,Completed
1755,2020-03-22,2020-04-04,2020-04-09,Completed
1757,2019-11-24,2019-11-27,2019-12-09,Completed
1761,2019-06-07,2019-06-19,2019-06-26,Completed
1785,2020-03-16,2020-03-21,2020-03-29,Completed
1789,2020-05-24,2020-06-06,2020-06-12,Completed
1790,2020-01-22,2020-01-29,2020-02-04,Completed
1791,2019-12-12,2019-12-19,2020-01-02,Completed
1798,2020-02-09,2020-02-10,2020-02-18,Completed
1802,2020-02-29,2020-03-04,2020-03-05,Completed
1805,2019-07-20,2019-07-22,2019-07-23,Completed
1807,2019-12-02,2019-12-06,2019-12-06,Completed
1814,2020-03-29,2020-04-02,2020-04-04,Completed
1817,2019-10-01,2019-10-12,2019-10-14,Completed
1832,2020-02-28,2020-03-08,2020-03-17,Completed
1836,2019-12-04,2019-12-11,2019-12-20,Completed
1838,2019-10-12,2019-10-26,2019-11-07,Completed
1840,2019-12-28,2020-01-09,NULL,"Paid & Undelivered"
1845,2020-03-30,2020-04-02,2020-04-08,Completed
1884,2019-04-21,2019-05-02,NULL,"Paid & Undelivered"
1892,2019-11-27,2019-12-01,2019-12-01,Completed
1916,2019-08-14,2019-08-18,2019-08-25,Completed
1942,2019-12-27,NULL,NULL,Unpaid
1944,2020-03-18,2020-03-19,2020-04-02,Completed
1950,2020-02-11,2020-02-16,2020-02-24,Completed
1951,2020-04-01,NULL,NULL,Unpaid
1954,2019-11-09,2019-11-18,2019-11-30,Completed
1955,2019-10-31,2019-11-02,2019-11-13,Completed
1961,2019-12-11,2019-12-19,2019-12-21,Completed
1965,2019-12-01,2019-12-02,2019-12-02,Completed
1966,2020-01-16,2020-01-25,2020-01-30,Completed
1970,2020-03-26,2020-03-29,2020-04-06,Completed
1975,2019-11-11,2019-11-23,2019-11-23,Completed
1983,2019-09-05,2019-09-18,2019-09-26,Completed
1992,2020-02-14,2020-02-25,2020-03-03,Completed
1994,2019-09-05,2019-09-09,2019-09-19,Completed
1995,2019-10-12,2019-10-22,2019-10-28,Completed
1998,2020-01-10,2020-01-19,2020-01-22,Completed
2006,2020-01-30,2020-02-10,2020-02-18,Completed
2013,2019-10-25,2019-11-08,2019-11-17,Completed
2018,2019-11-19,2019-11-20,2019-11-29,Completed
2039,2020-04-13,NULL,NULL,Unpaid
2041,2020-01-03,2020-01-06,NULL,"Paid & Undelivered"
2048,2019-10-16,NULL,NULL,Unpaid
2051,2020-03-28,2020-04-02,2020-04-07,Completed
2053,2019-10-17,2019-10-28,2019-10-30,Completed
2060,2019-12-06,2019-12-11,2019-12-20,Completed
2064,2020-02-10,2020-02-22,2020-03-05,Completed
2078,2019-06-16,2019-06-21,2019-06-26,Completed
2088,2020-04-29,2020-05-03,2020-05-04,Completed
2102,2019-03-30,2019-04-09,2019-04-19,Completed
2103,2019-07-19,2019-07-20,2019-08-01,Completed
2109,2019-09-05,2019-09-15,2019-09-15,Completed
2112,2019-11-12,2019-11-16,2019-11-26,Completed
2126,2020-05-23,2020-05-30,NULL,"Paid & Undelivered"
2130,2019-08-24,2019-09-05,NULL,"Paid & Undelivered"
2135,2020-03-07,2020-03-18,2020-03-28,Completed
2142,2019-12-03,2019-12-12,2019-12-14,Completed
2148,2020-04-08,2020-04-18,2020-04-25,Completed
2149,2019-12-19,2019-12-25,2019-12-30,Completed
2152,2020-04-04,2020-04-09,2020-04-20,Completed
2162,2020-01-16,2020-01-21,2020-02-02,Completed
2163,2019-05-29,2019-06-04,2019-06-09,Completed
2170,2020-05-24,2020-06-03,2020-06-17,Completed
2180,2020-04-21,NULL,NULL,Unpaid
2184,2019-12-25,2020-01-07,2020-01-08,Completed
2194,2019-11-03,2019-11-17,2019-12-01,Completed
2195,2020-03-08,2020-03-22,2020-03-27,Completed
2198,2020-05-31,2020-06-08,2020-06-17,Completed
2201,2020-03-21,NULL,NULL,Unpaid
2207,2019-12-18,2019-12-22,2019-12-25,Completed
2212,2019-11-04,NULL,NULL,Unpaid
2215,2020-05-24,2020-06-06,2020-06-12,Completed
2224,2020-05-19,2020-05-26,2020-06-06,Completed
2228,2019-08-11,2019-08-16,2019-08-30,Completed
2239,2020-05-11,2020-05-18,2020-05-28,Completed
2244,2020-04-13,2020-04-18,2020-05-02,Completed
2249,2020-05-23,2020-06-02,2020-06-12,Completed
2250,2020-05-31,NULL,NULL,Unpaid
2251,2019-12-22,2019-12-25,2019-12-30,Completed
2254,2019-12-27,2020-01-07,2020-01-10,Completed
2272,2020-05-10,2020-05-16,2020-05-16,Completed
2276,2019-08-26,2019-09-01,NULL,"Paid & Undelivered"
2278,2020-05-25,2020-05-30,2020-06-08,Completed
2284,2019-12-22,2019-12-23,2019-12-27,Completed
2287,2019-10-06,2019-10-13,2019-10-14,Completed
2288,2019-09-12,2019-09-20,2019-10-01,Completed
2291,2019-10-21,2019-11-04,2019-11-04,Completed
2298,2020-05-28,2020-06-05,2020-06-06,Completed
2307,2019-12-06,2019-12-14,NULL,"Paid & Undelivered"
2316,2020-01-28,2020-02-07,2020-02-12,Completed
2319,2019-05-31,2019-06-01,2019-06-01,Completed
2321,2020-05-11,2020-05-25,2020-05-31,Completed
2329,2019-11-22,2019-11-29,2019-12-09,Completed
2330,2020-05-30,2020-06-01,2020-06-09,Completed
2333,2020-02-09,2020-02-13,2020-02-15,Completed
2334,2019-11-29,2019-12-01,2019-12-06,Completed
2338,2019-12-13,2019-12-24,2020-01-07,Completed
2342,2019-10-04,2019-10-06,2019-10-10,Completed
2344,2020-04-22,2020-05-04,2020-05-04,Completed
2355,2020-05-28,2020-06-05,2020-06-13,Completed
2357,2020-03-29,2020-04-03,2020-04-13,Completed
2359,2019-06-30,2019-07-11,NULL,"Paid & Undelivered"
2360,2020-04-23,2020-04-25,2020-04-27,Completed
2368,2019-10-10,2019-10-23,2019-10-31,Completed
2369,2019-12-29,2020-01-06,2020-01-12,Completed
2376,2019-09-23,2019-10-06,2019-10-10,Completed
2379,2020-05-20,2020-05-27,2020-05-29,Completed
2382,2019-06-26,2019-06-29,2019-06-30,Completed
2384,2019-12-12,NULL,NULL,Unpaid
2394,2020-05-02,2020-05-09,2020-05-16,Completed
2423,2019-07-21,2019-07-23,2019-08-03,Completed
2438,2020-05-27,2020-05-28,NULL,"Paid & Undelivered"
2442,2020-05-18,2020-05-20,2020-05-20,Completed
2444,2019-12-26,2019-12-30,2019-12-30,Completed
2447,2019-05-18,2019-05-29,2019-06-09,Completed
2452,2019-04-10,2019-04-12,2019-04-17,Completed
2457,2019-11-09,2019-11-22,2019-11-29,Completed
2474,2019-09-05,2019-09-16,2019-09-28,Completed
2478,2019-10-30,2019-11-04,2019-11-14,Completed
2479,2019-12-19,2019-12-31,2020-01-07,Completed
2480,2019-10-16,2019-10-30,2019-11-01,Completed
2490,2020-05-30,2020-06-09,NULL,"Paid & Undelivered"
2496,2019-11-06,2019-11-09,2019-11-09,Completed
2497,2019-12-07,2019-12-20,2020-01-03,Completed
2503,2019-12-20,2020-01-01,2020-01-05,Completed
2505,2020-04-13,2020-04-24,2020-04-24,Completed
2507,2019-07-02,2019-07-03,2019-07-08,Completed
2510,2019-05-25,2019-05-30,2019-06-01,Completed
2520,2020-03-27,NULL,NULL,Unpaid
2537,2019-10-08,2019-10-18,2019-10-26,Completed
2543,2020-01-09,2020-01-21,2020-01-26,Completed
2545,2020-01-06,2020-01-10,NULL,"Paid & Undelivered"
2556,2020-05-21,2020-05-23,2020-06-03,Completed
2561,2019-11-06,2019-11-20,2019-11-22,Completed
2568,2019-10-18,2019-10-28,2019-10-29,Completed
2577,2019-08-31,2019-09-02,2019-09-07,Completed
2584,2020-04-18,2020-04-20,2020-04-27,Completed
2586,2020-05-24,2020-06-01,2020-06-15,Completed
2600,2020-04-30,2020-05-13,2020-05-15,Completed
2609,2019-05-19,NULL,NULL,Unpaid
2612,2020-01-15,2020-01-17,2020-01-28,Completed
2626,2020-01-18,2020-01-22,2020-01-31,Completed
2644,2020-04-13,2020-04-17,2020-04-28,Completed
2645,2020-05-06,2020-05-11,2020-05-11,Completed
2670,2019-08-27,2019-09-07,2019-09-08,Completed
2675,2019-07-16,2019-07-23,NULL,"Paid & Undelivered"
2692,2019-08-16,2019-08-28,2019-08-29,Completed
2695,2019-12-21,2019-12-28,2019-12-28,Completed
2716,2020-04-29,2020-05-01,2020-05-08,Completed
2723,2019-10-27,2019-11-09,2019-11-18,Completed
2726,2020-01-15,2020-01-23,2020-01-25,Completed
2732,2019-12-13,2019-12-22,2019-12-31,Completed
2742,2019-07-09,2019-07-19,2019-07-20,Completed
2743,2019-11-30,2019-12-08,2019-12-15,Completed
2748,2019-03-31,2019-04-14,2019-04-22,Completed
2755,2019-07-11,2019-07-23,2019-07-29,Completed
2757,2019-10-15,2019-10-27,2019-11-03,Completed
2766,2019-11-22,2019-12-05,2019-12-13,Completed
2768,2019-09-23,2019-10-03,2019-10-09,Completed
2783,2019-11-12,NULL,NULL,Unpaid
2785,2020-02-01,2020-02-09,2020-02-18,Completed
2811,2020-05-28,NULL,NULL,Unpaid
2824,2019-10-07,2019-10-15,2019-10-18,Completed
2828,2020-02-18,2020-02-19,2020-02-21,Completed
2829,2020-02-17,2020-02-19,NULL,"Paid & Undelivered"
2830,2020-05-21,2020-06-01,2020-06-10,Completed
2834,2019-11-14,2019-11-21,2019-11-30,Completed
2843,2020-05-23,2020-06-06,2020-06-09,Completed
2847,2019-11-08,2019-11-17,2019-11-19,Completed
2863,2019-10-12,2019-10-21,2019-11-04,Completed
2865,2020-02-04,2020-02-09,NULL,"Paid & Undelivered"
2870,2020-05-25,2020-05-28,2020-06-06,Completed
2880,2019-12-12,2019-12-22,2019-12-24,Completed
2911,2020-05-16,2020-05-26,2020-05-31,Completed
2916,2019-10-25,2019-11-05,2019-11-19,Completed
2929,2020-03-25,2020-04-07,2020-04-11,Completed
2966,2020-03-17,2020-03-27,2020-04-03,Completed
2967,2020-04-17,2020-04-20,2020-04-25,Completed
2984,2019-10-17,2019-10-31,2019-11-02,Completed
2987,2020-05-15,2020-05-18,2020-05-27,Completed
2997,2019-12-20,2019-12-23,2019-12-28,Completed
3000,2020-03-22,2020-04-03,2020-04-05,Completed
3013,2019-11-23,2019-12-05,2019-12-19,Completed
3016,2019-11-27,2019-12-10,2019-12-16,Completed
3021,2020-01-01,2020-01-05,2020-01-14,Completed
3024,2020-05-30,2020-06-08,2020-06-15,Completed
3028,2020-05-22,2020-05-31,2020-06-12,Completed
3044,2019-04-11,2019-04-17,2019-04-18,Completed
3062,2020-05-22,2020-05-24,2020-05-26,Completed
3066,2020-02-18,2020-03-03,NULL,"Paid & Undelivered"
3070,2020-01-27,2020-02-07,2020-02-19,Completed
3071,2019-09-30,2019-10-07,2019-10-09,Completed
3080,2019-05-24,2019-06-02,2019-06-04,Completed
3094,2019-09-11,2019-09-22,2019-09-28,Completed
3096,2019-12-22,2020-01-01,2020-01-01,Completed
3097,2019-12-24,2020-01-06,2020-01-12,Completed
3099,2020-02-28,2020-03-06,2020-03-16,Completed
3106,2020-02-16,2020-02-27,2020-03-10,Completed
3129,2019-07-20,2019-07-22,2019-07-27,Completed
3139,2019-11-30,2019-12-02,2019-12-03,Completed
3152,2019-10-29,2019-11-08,2019-11-11,Completed
3155,2019-12-15,2019-12-29,2020-01-05,Completed
3159,2020-01-01,2020-01-12,2020-01-14,Completed
3160,2020-04-02,2020-04-04,2020-04-12,Completed
3168,2019-09-06,2019-09-17,2019-10-01,Completed
3183,2020-03-24,2020-04-06,NULL,"Paid & Undelivered"
3189,2019-05-25,2019-06-02,2019-06-09,Completed
3192,2019-12-27,2020-01-10,2020-01-13,Completed
3203,2019-11-15,2019-11-26,2019-12-04,Completed
3208,2020-01-29,2020-02-08,NULL,"Paid & Undelivered"
3209,2019-10-12,2019-10-15,NULL,"Paid & Undelivered"
3211,2019-12-18,2019-12-20,2019-12-22,Completed
3216,2019-12-01,2019-12-03,2019-12-04,Completed
3217,2019-06-22,NULL,NULL,Unpaid
3218,2019-11-13,2019-11-23,2019-11-26,Completed
3220,2020-05-06,2020-05-11,2020-05-23,Completed
3222,2020-05-06,2020-05-14,2020-05-25,Completed
3236,2019-11-15,2019-11-23,2019-12-07,Completed
3246,2020-02-24,2020-03-09,NULL,"Paid & Undelivered"
3247,2019-10-17,2019-10-30,2019-11-06,Completed
3251,2020-02-27,2020-03-04,2020-03-18,Completed
3265,2020-03-09,2020-03-19,2020-03-28,Completed
3277,2020-02-04,2020-02-17,2020-02-25,Completed
3284,2020-05-30,2020-06-09,2020-06-14,Completed
3295,2020-05-20,2020-05-23,2020-06-03,Completed
3297,2020-02-23,2020-02-26,2020-03-07,Completed
3304,2019-09-29,2019-10-13,2019-10-20,Completed
3308,2019-11-13,2019-11-20,NULL,"Paid & Undelivered"
